Column1;Experiment;Generation;Mean_fit;Max_fit;Worst_fit
0;0;0;29,5;46;18
1;0;1;32,8;44;23
2;0;2;31;39;22
3;0;3;37,5;53;19
4;0;4;28,4;40;-12
5;0;5;32,7;40;19
6;0;6;35;44;25
7;0;7;34,8;43;24
8;0;8;35,8;53;21
9;0;9;36,4;100;4
10;0;10;40;100;23
11;1;0;-5,5;27;-46
12;1;1;15,1;36;-45
13;1;2;27,9;36;24
14;1;3;32,8;46;27
15;1;4;29,9;46;-15
16;1;5;31,2;46;22
17;1;6;36,5;46;25
18;1;7;32,2;46;22
19;1;8;31,5;46;23
20;1;9;30,3;46;-9
21;1;10;34,6;81;-18
22;2;0;10,2;36;-45
23;2;1;28,1;39;18
24;2;2;30,7;39;24
25;2;3;34,3;88;-4
26;2;4;32,9;88;-15
27;2;5;34,1;81;23
28;2;6;60,1;100;25
29;2;7;63,6;100;-25
30;2;8;60,4;100;17
31;2;9;70,8;100;27
32;2;10;79,8;100;40
