,Experiment,Generation,Mean_fit,Max_fit,Worst_fit,Var
0,0,0,86.3,327,-18,13517.810000000001
1,0,1,256.0,372,54,10465.4
2,0,2,291.1,372,87,6244.29
3,0,3,311.9,373,87,6685.089999999999
4,0,4,332.3,373,268,1321.6100000000001
5,0,5,301.3,375,33,8992.21
6,0,6,327.0,378,276,1707.4
7,0,7,323.5,378,257,2078.65
8,0,8,329.9,416,257,2645.4900000000002
9,0,9,324.6,416,257,2742.4399999999996
10,1,0,35.7,185,0,3291.2100000000005
11,1,1,80.8,261,-63,7557.76
12,1,2,91.6,261,-64,7145.639999999999
13,1,3,101.3,261,26,4546.81
14,1,4,84.6,185,0,3120.04
15,1,5,119.2,416,0,15352.16
16,1,6,140.8,416,-18,23038.96
17,1,7,162.1,416,0,20709.29
18,1,8,182.1,326,-67,14995.09
19,1,9,248.3,333,113,4696.41
20,2,0,74.4,280,-69,12657.84
21,2,1,143.9,371,-69,15846.689999999999
22,2,2,236.7,371,30,7686.009999999999
23,2,3,282.4,373,160,3412.84
24,2,4,291.1,373,219,2382.69
25,2,5,312.8,373,278,1303.16
26,2,6,322.8,374,278,1491.9599999999998
27,2,7,309.6,384,182,3826.44
28,2,8,313.4,384,187,3635.6400000000003
29,2,9,314.2,384,175,4796.36
30,3,0,113.8,419,-15,17138.96
31,3,1,177.3,419,64,12631.810000000001
32,3,2,210.1,419,64,11499.689999999999
33,3,3,228.5,419,90,11023.05
34,3,4,250.8,419,100,9111.76
35,3,5,263.6,419,94,8320.640000000001
36,3,6,241.1,419,0,13338.289999999999
37,3,7,253.5,419,127,8604.25
38,3,8,288.7,419,134,6015.210000000001
39,3,9,231.8,373,-68,14007.560000000001
40,4,0,19.9,229,-72,6331.89
41,4,1,46.6,229,-14,4342.24
42,4,2,73.5,229,0,5494.45
43,4,3,142.7,417,0,18505.21
44,4,4,197.7,417,50,13075.21
45,4,5,244.6,417,100,11293.64
46,4,6,304.5,417,167,5235.05
47,4,7,298.9,417,167,4181.09
48,4,8,298.9,425,167,6394.089999999999
49,4,9,289.7,417,167,5312.61
50,5,0,72.3,262,-60,7625.410000000001
51,5,1,112.9,262,34,4708.09
52,5,2,183.3,274,51,6488.01
53,5,3,198.6,280,51,5987.24
54,5,4,230.7,327,0,7822.410000000001
55,5,5,283.8,380,163,4965.96
56,5,6,318.9,380,269,1574.4900000000002
57,5,7,241.0,418,-60,20869.4
58,5,8,285.6,418,171,4541.04
59,5,9,292.7,418,228,2753.0099999999998
60,6,0,66.9,266,-70,8197.89
61,6,1,112.0,203,21,3628.0
62,6,2,146.5,321,31,6970.85
63,6,3,167.5,316,31,9118.25
64,6,4,228.8,316,167,2760.96
65,6,5,246.5,316,167,2113.65
66,6,6,237.6,324,81,6141.4400000000005
67,6,7,266.9,386,151,4842.49
68,6,8,287.7,386,110,5704.81
69,6,9,247.1,386,0,15048.689999999999
